# k_mid (h/Mpc)	P_0 (Mpc/h)^3	P_2 (Mpc/h)^3
0.005	12911.985603134075	3794.8020568365273
0.015	23937.587277556042	19698.456094206962
0.025	25508.21255685995	21081.41553103556
0.035	17934.78968251836	13377.090054004144
0.045	14033.196625185892	9456.54737594141
0.055	12063.795897652093	8708.529228775615
0.065	11055.811669017068	7729.2889407355415
0.075	9327.575777507709	6524.956662577084
0.085	7801.415776328337	5586.527706328866
0.095	6272.593745581825	4737.384439772496
0.105	5356.703464242795	4009.268344391661
0.115	4805.511983483879	3061.266474091248
0.125	4436.770261768236	3177.253615265896
0.135	4036.231031273089	2834.4644855118745
0.145	3519.2642388073195	2390.723493083933
0.155	3124.01159866779	2281.5474618311496
0.165	2752.107584459013	2013.0652481822685
0.175	2510.956297969593	1868.5288360334177
0.185	2294.7978564451846	1606.4904402358068
0.195	2096.953690719819	1466.2337345367212
0.205	1921.0804175649141	1329.740468421222
0.215	1756.7499975813892	1210.66849787064
0.225	1606.9457328516573	1157.6860923981064
0.235	1477.813780338513	1039.175107610935
0.245	1370.4551541110022	953.2971868786946
0.255	1275.82422034618	891.0302429738697
0.265	1186.2552141817018	832.0732046904621
0.275	1111.6821795736896	826.9670036239281
0.285	1030.9294757194298	752.4847521324982
0.295	965.343662703131	676.3679517640574
0.305	901.0073813229985	661.3341703628925
0.315	849.9131884611403	587.7789663512486
0.325	803.7531571312395	577.4833832266322
0.335	755.8884266710169	542.2693090807106
0.345	717.8589282281065	514.5225617966449
0.355	684.3368937498761	477.4390271455912
0.365	641.5814257323283	452.813675290012
0.375	608.8838631848043	423.03980912068505
0.385	571.6239561197004	409.18910543739355
0.395	551.7369081220261	389.2556162648313
0.405	523.330433899985	367.1071169530253
0.415	497.95435386969274	350.9373852396391
0.425	474.16551160826975	332.02832732978675
0.435	453.16764238550616	324.858617659735
0.445	432.6593343713688	303.5727662547353
0.455	408.4719386534594	293.4660852547144
0.464	391.7667595720683	286.8028423197911
0.475	370.53994837726884	260.5742154755024
0.485	350.9631815742506	242.9342251182138
0.495	332.7808078085527	238.64197792708768
