#           k/h    P           
    0.10000E-03    0.43779E+03
    0.10202E-03    0.44632E+03
    0.10408E-03    0.45501E+03
    0.10618E-03    0.46388E+03
    0.10833E-03    0.47291E+03
    0.11052E-03    0.48213E+03
    0.11275E-03    0.49152E+03
    0.11503E-03    0.50109E+03
    0.11735E-03    0.51086E+03
    0.11972E-03    0.52081E+03
    0.12214E-03    0.53095E+03
    0.12461E-03    0.54129E+03
    0.12712E-03    0.55184E+03
    0.12969E-03    0.56258E+03
    0.13231E-03    0.57354E+03
    0.13499E-03    0.58471E+03
    0.13771E-03    0.59610E+03
    0.14049E-03    0.60771E+03
    0.14333E-03    0.61954E+03
    0.14623E-03    0.63161E+03
    0.14918E-03    0.64390E+03
    0.15220E-03    0.65644E+03
    0.15527E-03    0.66922E+03
    0.15841E-03    0.68225E+03
    0.16161E-03    0.69553E+03
    0.16487E-03    0.70907E+03
    0.16820E-03    0.72288E+03
    0.17160E-03    0.73695E+03
    0.17507E-03    0.75129E+03
    0.17860E-03    0.76591E+03
    0.18221E-03    0.78082E+03
    0.18589E-03    0.79601E+03
    0.18965E-03    0.81150E+03
    0.19348E-03    0.82729E+03
    0.19739E-03    0.84339E+03
    0.20138E-03    0.85979E+03
    0.20544E-03    0.87652E+03
    0.20959E-03    0.89357E+03
    0.21383E-03    0.91095E+03
    0.21815E-03    0.92866E+03
    0.22255E-03    0.94672E+03
    0.22705E-03    0.96513E+03
    0.23164E-03    0.98389E+03
    0.23632E-03    0.10030E+04
    0.24109E-03    0.10225E+04
    0.24596E-03    0.10424E+04
    0.25093E-03    0.10626E+04
    0.25600E-03    0.10833E+04
    0.26117E-03    0.11043E+04
    0.26645E-03    0.11258E+04
    0.27183E-03    0.11477E+04
    0.27732E-03    0.11699E+04
    0.28292E-03    0.11927E+04
    0.28864E-03    0.12158E+04
    0.29447E-03    0.12394E+04
    0.30042E-03    0.12635E+04
    0.30649E-03    0.12880E+04
    0.31268E-03    0.13130E+04
    0.31899E-03    0.13384E+04
    0.32544E-03    0.13644E+04
    0.33201E-03    0.13909E+04
    0.33872E-03    0.14178E+04
    0.34556E-03    0.14453E+04
    0.35254E-03    0.14733E+04
    0.35966E-03    0.15019E+04
    0.36693E-03    0.15309E+04
    0.37434E-03    0.15606E+04
    0.38190E-03    0.15908E+04
    0.38962E-03    0.16216E+04
    0.39749E-03    0.16530E+04
    0.40552E-03    0.16849E+04
    0.41371E-03    0.17175E+04
    0.42207E-03    0.17507E+04
    0.43060E-03    0.17846E+04
    0.43929E-03    0.18190E+04
    0.44817E-03    0.18542E+04
    0.45722E-03    0.18900E+04
    0.46646E-03    0.19264E+04
    0.47588E-03    0.19636E+04
    0.48550E-03    0.20015E+04
    0.49530E-03    0.20401E+04
    0.50531E-03    0.20794E+04
    0.51552E-03    0.21194E+04
    0.52593E-03    0.21602E+04
    0.53656E-03    0.22018E+04
    0.54739E-03    0.22442E+04
    0.55845E-03    0.22873E+04
    0.56973E-03    0.23313E+04
    0.58124E-03    0.23761E+04
    0.59299E-03    0.24217E+04
    0.60496E-03    0.24682E+04
    0.61719E-03    0.25155E+04
    0.62965E-03    0.25637E+04
    0.64237E-03    0.26128E+04
    0.65535E-03    0.26628E+04
    0.66859E-03    0.27138E+04
    0.68210E-03    0.27657E+04
    0.69588E-03    0.28185E+04
    0.70993E-03    0.28724E+04
    0.72427E-03    0.29272E+04
    0.73891E-03    0.29830E+04
    0.75383E-03    0.30398E+04
    0.76906E-03    0.30977E+04
    0.78460E-03    0.31567E+04
    0.80045E-03    0.32167E+04
    0.81662E-03    0.32778E+04
    0.83311E-03    0.33400E+04
    0.84994E-03    0.34033E+04
    0.86711E-03    0.34678E+04
    0.88463E-03    0.35335E+04
    0.90250E-03    0.36003E+04
    0.92073E-03    0.36683E+04
    0.93933E-03    0.37376E+04
    0.95831E-03    0.38081E+04
    0.97767E-03    0.38798E+04
    0.99742E-03    0.39528E+04
    0.10176E-02    0.40271E+04
    0.10381E-02    0.41028E+04
    0.10591E-02    0.41797E+04
    0.10805E-02    0.42580E+04
    0.11023E-02    0.43377E+04
    0.11246E-02    0.44188E+04
    0.11473E-02    0.45012E+04
    0.11705E-02    0.45851E+04
    0.11941E-02    0.46705E+04
    0.12182E-02    0.47573E+04
    0.12429E-02    0.48456E+04
    0.12680E-02    0.49354E+04
    0.12936E-02    0.50268E+04
    0.13197E-02    0.51197E+04
    0.13464E-02    0.52141E+04
    0.13736E-02    0.53102E+04
    0.14013E-02    0.54079E+04
    0.14296E-02    0.55071E+04
    0.14585E-02    0.56081E+04
    0.14880E-02    0.57107E+04
    0.15180E-02    0.58149E+04
    0.15487E-02    0.59209E+04
    0.15800E-02    0.60286E+04
    0.16119E-02    0.61381E+04
    0.16445E-02    0.62493E+04
    0.16777E-02    0.63622E+04
    0.17116E-02    0.64770E+04
    0.17462E-02    0.65936E+04
    0.17814E-02    0.67120E+04
    0.18174E-02    0.68323E+04
    0.18541E-02    0.69544E+04
    0.18916E-02    0.70784E+04
    0.19298E-02    0.72043E+04
    0.19688E-02    0.73321E+04
    0.20086E-02    0.74619E+04
    0.20491E-02    0.75935E+04
