realisation,Beutler 2017 Recon_xi_mean,Beutler 2017 Recon_xi_std,Beutler 2017 Recon_xi_evidence,Beutler 2017 Fixed $\Sigma_{nl}$ Recon_xi_mean,Beutler 2017 Fixed $\Sigma_{nl}$ Recon_xi_std,Beutler 2017 Fixed $\Sigma_{nl}$ Recon_xi_evidence,Seo 2016 Recon_xi_mean,Seo 2016 Recon_xi_std,Seo 2016 Recon_xi_evidence,Ding 2018 Recon_xi_mean,Ding 2018 Recon_xi_std,Ding 2018 Recon_xi_evidence,Beutler 2017 Prerecon_xi_mean,Beutler 2017 Prerecon_xi_std,Beutler 2017 Prerecon_xi_evidence,Beutler 2017 Fixed $\Sigma_{nl}$ Prerecon_xi_mean,Beutler 2017 Fixed $\Sigma_{nl}$ Prerecon_xi_std,Beutler 2017 Fixed $\Sigma_{nl}$ Prerecon_xi_evidence,Seo 2016 Prerecon_xi_mean,Seo 2016 Prerecon_xi_std,Seo 2016 Prerecon_xi_evidence,Ding 2018 Prerecon_xi_mean,Ding 2018 Prerecon_xi_std,Ding 2018 Prerecon_xi_evidence
0,1.01438,0.01222,-34.66439,1.01427,0.01262,-33.02040,1.01402,0.01246,-35.15563,1.01370,0.01256,-35.48528,1.02224,0.01829,-39.65752,1.02199,0.01759,-38.17075,1.02169,0.01818,-40.46777,1.02075,0.01705,-41.18049
1,1.00426,0.01946,-40.82049,1.00116,0.01415,-40.05087,1.00177,0.01539,-42.29025,1.00263,0.01434,-42.71418,1.01544,0.02192,-31.31552,1.01618,0.01959,-29.46624,1.01552,0.01906,-31.78509,1.01605,0.01853,-32.37384
2,1.02114,0.01501,-39.13885,1.02080,0.01378,-37.52859,1.02219,0.01404,-39.53936,1.02022,0.01390,-40.31580,1.07554,0.02287,-35.20329,1.07486,0.02276,-33.83220,1.07506,0.02150,-35.75023,1.07554,0.02252,-36.67833
3,1.01720,0.02162,-36.08855,1.00889,0.01758,-35.03411,1.01016,0.01812,-35.97889,1.00882,0.01777,-37.82647,1.03422,0.02581,-36.28711,1.03215,0.02366,-35.11312,1.03124,0.02431,-37.42828,1.03233,0.02438,-37.87738
4,1.01202,0.01379,-41.60830,1.01145,0.01310,-40.05898,1.01166,0.01346,-42.01183,1.01053,0.01339,-42.80246,1.03491,0.01659,-35.24738,1.03442,0.01614,-33.19140,1.03401,0.01646,-35.54964,1.03460,0.01651,-36.68321
5,1.02377,0.01561,-39.55856,1.02420,0.01547,-37.11306,1.02437,0.01459,-39.15313,1.02323,0.01486,-40.13325,1.04169,0.03225,-36.39158,1.04305,0.02687,-34.59459,1.04292,0.02731,-37.38881,1.04048,0.02714,-37.58113
6,1.02067,0.01738,-44.42221,1.01594,0.01452,-43.71923,1.01670,0.01505,-45.05054,1.01582,0.01461,-45.89611,1.03925,0.03428,-32.92850,1.02507,0.03134,-32.58199,1.02440,0.03218,-34.41734,1.02522,0.02967,-34.88139
7,1.00443,0.01153,-34.26091,1.00435,0.01158,-32.44427,1.00403,0.01137,-34.55228,1.00440,0.01090,-35.28662,1.00948,0.02446,-40.23321,1.00430,0.02149,-38.67369,1.00473,0.02088,-41.23034,1.00471,0.02126,-41.67459
8,0.99657,0.01267,-36.50125,0.99422,0.01233,-34.59442,0.99516,0.01256,-36.91713,0.99497,0.01158,-37.97503,0.97928,0.01614,-36.74786,0.97769,0.01615,-34.76093,0.97626,0.01489,-36.98149,0.97693,0.01510,-38.12642
9,0.99746,0.01494,-35.90394,0.99720,0.01407,-35.23011,0.99721,0.01462,-37.52687,0.99750,0.01420,-37.88072,1.00436,0.01892,-32.75124,1.00510,0.01840,-31.44801,1.00385,0.01831,-33.61649,1.00351,0.01895,-34.20292
10,1.00806,0.01329,-38.34307,1.00946,0.01371,-36.21515,1.00871,0.01374,-38.51732,1.00858,0.01346,-38.88537,1.00903,0.01806,-31.70196,1.01141,0.01923,-30.09747,1.01019,0.01877,-32.14505,1.01182,0.01840,-33.64519
