realisation,Beutler 2017 Recon_pk_mean,Beutler 2017 Recon_pk_std,Beutler 2017 Recon_pk_evidence,Beutler 2017 Fixed $\Sigma_{nl}$ Recon_pk_mean,Beutler 2017 Fixed $\Sigma_{nl}$ Recon_pk_std,Beutler 2017 Fixed $\Sigma_{nl}$ Recon_pk_evidence,Seo 2016 Recon_pk_mean,Seo 2016 Recon_pk_std,Seo 2016 Recon_pk_evidence,Ding 2018 Recon_pk_mean,Ding 2018 Recon_pk_std,Ding 2018 Recon_pk_evidence,Noda 2019 Recon_pk_mean,Noda 2019 Recon_pk_std,Noda 2019 Recon_pk_evidence,Beutler 2017 Prerecon_pk_mean,Beutler 2017 Prerecon_pk_std,Beutler 2017 Prerecon_pk_evidence,Beutler 2017 Fixed $\Sigma_{nl}$ Prerecon_pk_mean,Beutler 2017 Fixed $\Sigma_{nl}$ Prerecon_pk_std,Beutler 2017 Fixed $\Sigma_{nl}$ Prerecon_pk_evidence,Seo 2016 Prerecon_pk_mean,Seo 2016 Prerecon_pk_std,Seo 2016 Prerecon_pk_evidence,Ding 2018 Prerecon_pk_mean,Ding 2018 Prerecon_pk_std,Ding 2018 Prerecon_pk_evidence,Noda 2019 Prerecon_pk_mean,Noda 2019 Prerecon_pk_std,Noda 2019 Prerecon_pk_evidence
0,1.00996,0.01052,-65.79745,1.01127,0.01177,-64.40023,1.00996,0.00943,-65.95952,1.00897,0.00887,-67.05236,1.01091,0.01018,-50.76492,1.01713,0.01552,-56.55704,1.01889,0.01609,-54.95710,1.01145,0.01184,-58.90096,1.01180,0.01218,-58.86768,1.02676,0.01395,-42.99470
1,0.99875,0.01325,-62.03055,0.99744,0.01190,-60.30085,0.99660,0.00997,-63.94772,0.99631,0.00979,-65.10723,0.99884,0.01109,-48.97907,1.01762,0.02155,-56.59589,1.01764,0.01920,-54.46080,1.01237,0.01452,-60.68556,1.01300,0.01455,-60.09238,1.04399,0.01724,-44.87448
2,1.02932,0.01371,-62.86712,1.02700,0.01223,-60.67813,1.02331,0.01036,-64.77341,1.02275,0.01015,-66.46842,1.01951,0.01156,-47.23636,1.08069,0.02002,-60.62979,1.08030,0.01892,-58.04173,1.07168,0.01482,-62.64411,1.07381,0.01405,-61.73769,1.07242,0.01609,-42.90474
3,1.00895,0.01487,-62.33430,1.00542,0.01369,-60.04650,1.00209,0.01217,-65.50337,1.00127,0.01140,-67.71384,1.00204,0.01177,-44.91066,1.03913,0.02366,-57.45449,1.04002,0.02053,-54.93348,1.03475,0.01693,-64.21250,1.03643,0.01742,-62.80810,1.05318,0.01786,-43.66212
4,1.00685,0.01105,-57.10529,1.00863,0.01096,-55.39047,1.00644,0.00928,-56.92846,1.00594,0.00920,-58.32545,1.00517,0.01039,-38.82217,1.03798,0.01548,-64.49188,1.04061,0.01698,-62.77684,1.03171,0.01239,-66.43530,1.03343,0.01363,-65.75388,1.04675,0.01522,-49.81332
5,1.01424,0.01349,-60.20596,1.01404,0.01283,-58.11445,1.01698,0.01135,-62.56047,1.01652,0.01125,-64.66838,1.00361,0.01284,-47.56710,1.01653,0.03157,-60.22953,1.02820,0.02498,-59.74266,1.03224,0.01931,-69.77881,1.03098,0.02000,-68.49582,1.02935,0.01877,-45.67481
6,1.01922,0.01596,-63.96355,1.01319,0.01269,-62.19960,1.00975,0.01125,-67.95965,1.00926,0.01108,-69.91916,1.01062,0.01220,-50.62487,1.04728,0.03167,-52.97945,1.02914,0.02186,-52.25923,1.01358,0.01715,-62.00122,1.01760,0.01928,-60.44470,1.04397,0.01933,-40.56256
7,1.00595,0.00983,-58.40512,1.00764,0.01122,-57.07154,1.00561,0.00896,-58.07203,1.00605,0.00867,-59.36612,1.00234,0.01033,-43.48697,1.01740,0.02603,-58.14148,1.01071,0.01934,-56.02590,0.99585,0.01474,-63.40567,0.99704,0.01576,-62.64634,1.01769,0.01715,-43.14222
8,0.99330,0.01047,-54.57361,0.99557,0.01122,-52.71531,0.99303,0.00913,-56.37471,0.99328,0.00885,-57.53106,0.99497,0.01026,-39.15797,0.98157,0.01504,-60.53542,0.98129,0.01642,-58.50449,0.97848,0.01220,-59.69291,0.97969,0.01256,-60.02797,0.99463,0.01493,-46.62711
9,0.99468,0.01206,-49.99279,0.99426,0.01171,-47.76239,0.99361,0.01011,-52.35270,0.99362,0.00980,-54.01917,0.99113,0.01116,-34.24804,1.00353,0.02097,-54.59833,1.00365,0.01888,-51.93460,0.99645,0.01402,-57.09188,0.99666,0.01403,-56.23590,1.01667,0.01630,-37.78012
10,1.00599,0.01230,-57.49367,1.00746,0.01157,-55.30149,1.00429,0.00962,-60.91771,1.00422,0.00972,-63.08575,0.99979,0.01093,-40.95137,1.00757,0.01699,-47.12061,1.00843,0.01789,-45.53042,1.00297,0.01240,-50.58508,1.00493,0.01327,-49.92183,1.01314,0.01519,-32.71524
11,0.99841,0.01306,-64.95795,0.99766,0.01162,-62.17521,0.99579,0.01024,-65.90289,0.99538,0.00953,-66.98601,0.99040,0.01053,-48.19082,1.00274,0.02498,-56.54132,0.99933,0.01972,-55.00135,0.99120,0.01464,-61.39677,0.99249,0.01533,-59.65868,1.00300,0.01717,-43.67726
12,1.01815,0.00868,-57.34169,1.01671,0.01027,-57.88382,1.01728,0.00860,-57.28618,1.01803,0.00784,-58.31128,1.01674,0.00940,-39.90008,1.02078,0.01346,-54.79618,1.02361,0.01602,-54.27879,1.01928,0.01119,-54.49324,1.01988,0.01230,-54.26038,1.03009,0.01403,-38.81547
13,0.98642,0.01084,-68.82751,0.98492,0.01186,-66.99014,0.98558,0.00974,-72.62270,0.98592,0.00932,-73.32771,0.98063,0.01120,-54.57179,0.99484,0.03214,-58.97495,0.98801,0.02057,-58.09323,0.98108,0.01574,-67.09392,0.98221,0.01713,-66.04638,0.99890,0.01771,-45.91688
14,0.99348,0.00929,-51.75723,0.99429,0.01051,-51.19418,0.99320,0.00868,-50.81627,0.99272,0.00853,-51.98260,0.99003,0.01000,-37.53344,0.98503,0.01765,-57.57766,0.98593,0.01746,-55.23369,0.97961,0.01275,-57.03002,0.98054,0.01338,-56.25779,0.99663,0.01500,-43.27977
