realisation,Beutler 2017 Recon_xi_mean,Beutler 2017 Recon_xi_std,Beutler 2017 Recon_xi_evidence,Beutler 2017 Fixed $\Sigma_{nl}$ Recon_xi_mean,Beutler 2017 Fixed $\Sigma_{nl}$ Recon_xi_std,Beutler 2017 Fixed $\Sigma_{nl}$ Recon_xi_evidence,Seo 2016 Recon_xi_mean,Seo 2016 Recon_xi_std,Seo 2016 Recon_xi_evidence,Ding 2018 Recon_xi_mean,Ding 2018 Recon_xi_std,Ding 2018 Recon_xi_evidence,Beutler 2017 Prerecon_xi_mean,Beutler 2017 Prerecon_xi_std,Beutler 2017 Prerecon_xi_evidence,Beutler 2017 Fixed $\Sigma_{nl}$ Prerecon_xi_mean,Beutler 2017 Fixed $\Sigma_{nl}$ Prerecon_xi_std,Beutler 2017 Fixed $\Sigma_{nl}$ Prerecon_xi_evidence,Seo 2016 Prerecon_xi_mean,Seo 2016 Prerecon_xi_std,Seo 2016 Prerecon_xi_evidence,Ding 2018 Prerecon_xi_mean,Ding 2018 Prerecon_xi_std,Ding 2018 Prerecon_xi_evidence
0,1.01406,0.01220,-34.59311,1.01349,0.01190,-32.75941,1.01355,0.01238,-35.07759,1.01397,0.01252,-35.83367,1.02322,0.01785,-39.75836,1.02204,0.01773,-37.70790,1.02210,0.01780,-40.16799,1.02054,0.01762,-41.53393
1,1.00408,0.01816,-40.48718,1.00113,0.01478,-39.93802,1.00190,0.01529,-42.01965,1.00198,0.01524,-43.09944,1.01601,0.02145,-30.79851,1.01613,0.01849,-29.19566,1.01737,0.01945,-31.88393,1.01615,0.01923,-32.31779
2,1.02130,0.01484,-39.15779,1.02204,0.01413,-37.74217,1.02160,0.01468,-39.56478,1.02064,0.01328,-39.89862,1.07479,0.02284,-35.25196,1.07580,0.02175,-34.00961,1.07471,0.02138,-35.76474,1.07545,0.02141,-36.67840
3,1.01642,0.02022,-35.80616,1.00753,0.01835,-35.08824,1.00995,0.01769,-36.85050,1.00885,0.01783,-37.99159,1.03407,0.02630,-36.41675,1.03199,0.02474,-35.27994,1.03372,0.02401,-36.85307,1.03084,0.02367,-37.88744
4,1.01258,0.01401,-41.47841,1.01075,0.01286,-39.95762,1.01169,0.01305,-41.66859,1.01043,0.01258,-42.33839,1.03473,0.01657,-35.37899,1.03442,0.01663,-32.84568,1.03369,0.01692,-35.59412,1.03418,0.01697,-36.69152
5,1.02377,0.01584,-39.29660,1.02500,0.01513,-37.09020,1.02294,0.01520,-39.36356,1.02303,0.01485,-40.02678,1.03962,0.03184,-36.05254,1.04244,0.02762,-34.80514,1.04297,0.02724,-36.95515,1.04225,0.02722,-38.01383
6,1.01923,0.01623,-44.74266,1.01645,0.01425,-43.19318,1.01644,0.01491,-45.03036,1.01699,0.01398,-45.87439,1.03972,0.03663,-32.89514,1.02184,0.03141,-32.39655,1.02524,0.03239,-34.32443,1.02498,0.03042,-35.16973
7,1.00485,0.01169,-34.12585,1.00467,0.01143,-32.24796,1.00474,0.01104,-34.40446,1.00426,0.01158,-35.41013,1.00928,0.02353,-40.26980,1.00481,0.02062,-39.05721,1.00412,0.02055,-41.06936,1.00548,0.02244,-41.92181
8,0.99564,0.01274,-36.25253,0.99479,0.01201,-34.33228,0.99467,0.01253,-36.86426,0.99414,0.01252,-37.85026,0.97906,0.01540,-36.28500,0.97656,0.01523,-34.81792,0.97753,0.01564,-36.75517,0.97632,0.01585,-37.87050
9,0.99766,0.01561,-35.82106,0.99829,0.01360,-34.87908,0.99665,0.01301,-36.45725,0.99740,0.01411,-37.60758,1.00487,0.01872,-32.86955,1.00447,0.01819,-31.36654,1.00378,0.01756,-33.55137,1.00446,0.01768,-34.19912
10,1.00759,0.01266,-38.34731,1.00915,0.01312,-36.56659,1.00924,0.01302,-38.16492,1.00761,0.01299,-38.88789,1.00834,0.01747,-31.43647,1.01121,0.01904,-30.88493,1.01055,0.01911,-32.33268,1.01053,0.01981,-33.32633
11,1.00138,0.01937,-44.72930,0.99762,0.01557,-43.80647,0.99841,0.01679,-45.70465,0.99779,0.01558,-46.09553,0.99273,0.02907,-33.49534,0.99045,0.02541,-32.31797,0.99108,0.02353,-33.93165,0.98971,0.02442,-34.97489
12,1.02008,0.01121,-36.99239,1.01939,0.01188,-35.34350,1.01893,0.01152,-37.40278,1.01898,0.01121,-38.08916,1.02758,0.01508,-37.89188,1.02658,0.01748,-37.37523,1.02703,0.01693,-39.45277,1.02674,0.01715,-39.99914
13,0.98304,0.01451,-33.85434,0.98256,0.01545,-32.55048,0.98245,0.01459,-34.66479,0.98212,0.01482,-35.28949,0.97555,0.03193,-32.81499,0.97304,0.02716,-31.80550,0.97152,0.02536,-33.64915,0.97154,0.02752,-34.69790
14,0.99460,0.01064,-36.47848,0.99379,0.01112,-34.79383,0.99370,0.01068,-36.97375,0.99359,0.01081,-38.38385,0.98602,0.01885,-35.00952,0.98133,0.01678,-32.96508,0.98171,0.01649,-35.81738,0.98232,0.01631,-36.21287
15,1.01317,0.01822,-34.90177,1.01240,0.01656,-33.53861,1.01170,0.01542,-35.46801,1.01109,0.01606,-36.70324,1.03609,0.03413,-28.37323,1.02815,0.02729,-27.89084,1.02764,0.02815,-30.13133,1.02801,0.02804,-30.52862
16,0.99019,0.01506,-30.40837,0.98945,0.01409,-28.30824,0.98923,0.01469,-30.09050,0.98888,0.01382,-31.02048,1.00856,0.01598,-36.17580,1.00723,0.01809,-35.49566,1.00743,0.01714,-37.44270,1.00649,0.01757,-38.47331
17,1.01829,0.01035,-36.98839,1.01760,0.01036,-35.79541,1.01703,0.01012,-37.92545,1.01758,0.01030,-38.68528,1.03568,0.01533,-35.37994,1.03868,0.01650,-34.61620,1.03914,0.01560,-36.09825,1.03807,0.01580,-37.38062
18,1.01710,0.01940,-38.97173,1.01088,0.01583,-38.97050,1.01230,0.01590,-40.78717,1.01184,0.01538,-41.61234,1.03181,0.02979,-42.85029,1.01717,0.02471,-42.81634,1.01690,0.02266,-44.29574,1.01834,0.02184,-44.83922
19,1.01108,0.01631,-38.88699,1.00981,0.01537,-37.23323,1.01023,0.01574,-39.29332,1.00936,0.01559,-40.12880,1.02473,0.03193,-36.16822,1.02511,0.02924,-35.01646,1.02349,0.02814,-36.73771,1.02559,0.02738,-37.60736
20,1.00917,0.01232,-37.30068,1.00891,0.01181,-34.93593,1.00983,0.01242,-37.28104,1.00929,0.01180,-38.11813,0.99806,0.01695,-37.10736,0.99819,0.01654,-35.21446,0.99774,0.01559,-37.65296,0.99702,0.01652,-38.32420
21,1.02224,0.01836,-35.41631,1.01366,0.01382,-34.26985,1.01458,0.01542,-36.47836,1.01446,0.01415,-37.16938,1.04241,0.02167,-35.11592,1.04041,0.02103,-34.44704,1.03781,0.02054,-35.86906,1.03901,0.02068,-36.79600
22,0.98945,0.01390,-44.37408,0.99282,0.01302,-42.80294,0.99364,0.01417,-44.45870,0.99069,0.01307,-44.88908,0.99790,0.01527,-45.03086,1.00495,0.01580,-43.71844,1.00384,0.01515,-46.14120,1.00348,0.01563,-47.28959
23,1.01765,0.01657,-40.09269,1.01034,0.01494,-40.07393,1.01251,0.01528,-41.65252,1.01196,0.01433,-42.80015,0.99984,0.01936,-37.99970,0.99551,0.01622,-36.84000,0.99515,0.01628,-38.31452,0.99635,0.01738,-39.34512
24,1.00316,0.02692,-38.67498,0.98823,0.02098,-40.27221,0.98874,0.01887,-41.52968,0.98899,0.02046,-42.65247,0.97556,0.02702,-28.14012,0.96436,0.02210,-27.68652,0.96554,0.02181,-29.69295,0.96653,0.02233,-30.21613
25,1.01148,0.01963,-39.60495,1.00344,0.01648,-38.66983,1.00457,0.01717,-40.45445,1.00376,0.01669,-41.71818,1.01428,0.02804,-32.36123,1.01057,0.02093,-31.45226,1.00854,0.01986,-33.03717,1.01023,0.02114,-33.56128
26,1.01805,0.02363,-35.22599,1.01602,0.01947,-33.57729,1.01571,0.01983,-35.65229,1.01620,0.01990,-36.50887,1.01703,0.02636,-37.43997,1.01572,0.02474,-36.26578,1.01616,0.02337,-37.96216,1.01631,0.02482,-39.15551
